Name,Description,URL
github-cheat-sheet,A list of cool features of Git and GitHub.,https://github.com/tiimgreen/github-cheat-sheet
build-web-application-with-golang,A golang ebook intro how to build a web with golang,https://github.com/astaxie/build-web-application-with-golang
react,Cheatsheets for experienced React developers getting started with TypeScript,https://github.com/typescript-cheatsheets/react
llama,Inference code for LLaMA models,https://github.com/facebookresearch/llama
leetcode-master,LeetCode 20060w50C++JavaPythonGoJavaScript,https://github.com/youngyangyang04/leetcode-master
rustlings,:crab: Small exercises to get you used to reading and writing Rust code!,https://github.com/rust-lang/rustlings
awesome-wechat-weapp,:100:,https://github.com/justjavac/awesome-wechat-weapp
retrofit,A type-safe HTTP client for Android and the JVM,https://github.com/square/retrofit
project-layout,Standard Go Project Layout,https://github.com/golang-standards/project-layout
design-patterns-for-humans,An ultra-simplified explanation to design patterns,https://github.com/kamranahmedse/design-patterns-for-humans
100-Days-Of-ML-Code,100 Days of ML Coding,https://github.com/Avik-Jain/100-Days-Of-ML-Code
openpilot,openpilot is an open source driver assistance system. openpilot performs the functions of Automated Lane Centering and Adaptive Cruise Control for 250+ supported car makes and models.,https://github.com/commaai/openpilot
yolov5,YOLOv5 in PyTorch > ONNX > CoreML > TFLite,https://github.com/ultralytics/yolov5
gpt_academic,ChatGPT/GLM//&PythonC++&PDF/LaTex&LLMchatglm2 moss llama2 rwkv claude2,https://github.com/binary-husky/gpt_academic
x64dbg,An open-source user mode debugger for Windows. Optimized for reverse engineering and malware analysis.,https://github.com/x64dbg/x64dbg
hyper,A terminal built on web technologies,https://github.com/vercel/hyper
marktext,A simple and elegant markdown editor available for Linux macOS and Windows.,https://github.com/marktext/marktext
trackerslist,Updated list of public BitTorrent trackers,https://github.com/ngosang/trackerslist
yarn,The 1.x line is frozen - features and bugfixes now happen on https://github.com/yarnpkg/berry,https://github.com/yarnpkg/yarn
git-flight-rules,Flight rules for git,https://github.com/k88hudson/git-flight-rules
ChatGPT,ChatGPT Desktop Application (Mac Windows and Linux),https://github.com/lencx/ChatGPT
bypass-paywalls-chrome,Bypass Paywalls web browser extension for Chrome and Firefox.,https://github.com/iamadamdev/bypass-paywalls-chrome
llama.cpp,Port of Facebook's LLaMA model in C/C++,https://github.com/ggerganov/llama.cpp
pixijs,The HTML5 Creation Engine: Create beautiful digital content with the fastest most flexible 2D WebGL renderer.,https://github.com/pixijs/pixijs
minio,High Performance Object Storage for AI,https://github.com/minio/minio
PowerShell,PowerShell for every system!,https://github.com/PowerShell/PowerShell
vue2-elm,Large single page application with 45 pages built on vue2 + vuex. vue2 + vuex 45,https://github.com/bailicangdu/vue2-elm
core,Vue.js is a progressive incrementally-adoptable JavaScript framework for building UI on the web.,https://github.com/vuejs/core
rclone,"""rsync for cloud storage"" - Google Drive S3 Dropbox Backblaze B2 One Drive Swift Hubic Wasabi Google Cloud Storage Yandex Files",https://github.com/rclone/rclone
Motrix,A full-featured download manager.,https://github.com/agalwood/Motrix
ripgrep,ripgrep recursively searches directories for a regex pattern while respecting your gitignore,https://github.com/BurntSushi/ripgrep
nw.js,Call all Node.js modules directly from DOM/WebWorker and enable a new way of writing applications with all Web technologies.,https://github.com/nwjs/nw.js
Alamofire,Elegant HTTP Networking in Swift,https://github.com/Alamofire/Alamofire
pandas,Flexible and powerful data analysis / manipulation library for Python providing labeled data structures similar to R data.frame objects statistical functions and much more,https://github.com/pandas-dev/pandas
pm2,Node.js Production Process Manager with a built-in Load Balancer.,https://github.com/Unitech/pm2
PythonDataScienceHandbook,Python Data Science Handbook: full text in Jupyter Notebooks,https://github.com/jakevdp/PythonDataScienceHandbook
styled-components,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress,https://github.com/styled-components/styled-components
CppCoreGuidelines,The C++ Core Guidelines are a set of tried-and-true guidelines rules and best practices about coding in C++,https://github.com/isocpp/CppCoreGuidelines
dubbo,The java implementation of Apache Dubbo. An RPC and microservice framework.,https://github.com/apache/dubbo
huginn,Create agents that monitor and act on your behalf. Your agents are standing by!,https://github.com/huginn/huginn
frontend-dev-bookmarks,Manually curated collection of resources for frontend web developers.,https://github.com/dypsilon/frontend-dev-bookmarks
grpc,The C based gRPC (C++ Python Ruby Objective-C PHP C#),https://github.com/grpc/grpc
lazygit,simple terminal UI for git commands,https://github.com/jesseduffield/lazygit
meilisearch,A lightning-fast search engine that fits effortlessly into your apps websites and workflow.,https://github.com/meilisearch/meilisearch
materialize,Materialize a CSS Framework based on Material Design,https://github.com/Dogfalo/materialize
terraform,Terraform enables you to safely and predictably create change and improve infrastructure. It is a source-available tool that codifies APIs into declarative configuration files that can be shared amongst team members treated as code edited reviewed and versioned.,https://github.com/hashicorp/terraform
discourse,A platform for community discussion. Free open simple.,https://github.com/discourse/discourse
hackingtool,ALL IN ONE Hacking Tool For Hackers,https://github.com/Z4nzu/hackingtool
powerlevel10k,A Zsh theme,https://github.com/romkatv/powerlevel10k
AppFlowy,AppFlowy is an open-source alternative to Notion. You are in charge of your data and customizations. Built with Flutter and Rust.,https://github.com/AppFlowy-IO/AppFlowy
joplin,Joplin - the secure note taking and to-do app with synchronisation capabilities for Windows macOS Linux Android and iOS.,https://github.com/laurent22/joplin
uni-app,A cross-platform framework using Vue.js,https://github.com/dcloudio/uni-app
hiring-without-whiteboards,Companies that don't have a broken hiring process,https://github.com/poteto/hiring-without-whiteboards
uptime-kuma,A fancy self-hosted monitoring tool,https://github.com/louislam/uptime-kuma
zx,A tool for writing better scripts,https://github.com/google/zx
segment-anything,The repository provides code for running inference with the SegmentAnything Model (SAM) links for downloading the trained model checkpoints and example notebooks that show how to use the model.,https://github.com/facebookresearch/segment-anything
FFmpeg,Mirror of https://git.ffmpeg.org/ffmpeg.git,https://github.com/FFmpeg/FFmpeg
30-Days-Of-JavaScript,30 days of JavaScript programming challenge is a step-by-step guide to learn JavaScript programming language in 30 days. This challenge may take more than 100 days please just follow your own pace. These videos may help too: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw,https://github.com/Asabeneh/30-Days-Of-JavaScript
dive,A tool for exploring each layer in a docker image,https://github.com/wagoodman/dive
Leaflet,JavaScript library for mobile-friendly interactive maps,https://github.com/Leaflet/Leaflet
gitea,Git with a cup of tea! Painless self-hosted all-in-one software development service including Git hosting code review team collaboration package registry and CI/CD,https://github.com/go-gitea/gitea
front-end-interview-handbook,Front End interview preparation materials for busy engineers,https://github.com/yangshun/front-end-interview-handbook
edex-ui,A cross-platform customizable science fiction terminal emulator with advanced monitoring & touchscreen support.,https://github.com/GitSquared/edex-ui
Magisk,The Magic Mask for Android,https://github.com/topjohnwu/Magisk
react-use,React Hooks,https://github.com/streamich/react-use
python-patterns,A collection of design patterns/idioms in Python,https://github.com/faif/python-patterns
vuetify,Vue Component Framework,https://github.com/vuetifyjs/vuetify
nocodb,Open Source Airtable Alternative,https://github.com/nocodb/nocodb
privateGPT,Interact privately with your documents using the power of GPT 100% privately no data leaks,https://github.com/imartinez/privateGPT
first-contributions,Help beginners to contribute to open source projects,https://github.com/firstcontributions/first-contributions
awesome-java,A curated list of awesome frameworks libraries and software for the Java programming language.,https://github.com/akullpp/awesome-java
fastlane,The easiest way to automate building and releasing your iOS and Android apps,https://github.com/fastlane/fastlane
uBlock,uBlock Origin - An efficient blocker for Chromium and Firefox. Fast and lean.,https://github.com/gorhill/uBlock
hexo,A fast simple & powerful blog framework powered by Node.js.,https://github.com/hexojs/hexo
impress.js,It's a presentation framework based on the power of CSS3 transforms and transitions in modern browsers and inspired by the idea behind prezi.com.,https://github.com/impress/impress.js
what-happens-when,"An attempt to answer the age old interview question ""What happens when you type google.com into your browser and press enter?""",https://github.com/alex/what-happens-when
awesome-react-components,Curated List of React Components & Libraries.,https://github.com/brillout/awesome-react-components
awesome-rust,A curated list of Rust code and resources.,https://github.com/rust-unofficial/awesome-rust
brew,The missing package manager for macOS (or Linux),https://github.com/Homebrew/brew
Rocket.Chat,The communications platform that puts data protection first.,https://github.com/RocketChat/Rocket.Chat
quill,Quill is a modern WYSIWYG editor built for compatibility and extensibility.,https://github.com/quilljs/quill
open-source-mac-os-apps,Awesome list of open source applications for macOS. https://t.me/s/opensourcemacosapps,https://github.com/serhii-londar/open-source-mac-os-apps
MPAndroidChart,A powerful Android chart view / graph view library supporting line- bar- pie- radar- bubble- and candlestick charts as well as scaling panning and animations.,https://github.com/PhilJay/MPAndroidChart
react-hook-form,React Hooks for form state management and validation (Web + React Native),https://github.com/react-hook-form/react-hook-form
spark,Apache Spark - A unified analytics engine for large-scale data processing,https://github.com/apache/spark
json,JSON for Modern C++,https://github.com/nlohmann/json
kubernetes-the-hard-way,Bootstrap Kubernetes the hard way on Google Cloud Platform. No scripts.,https://github.com/kelseyhightower/kubernetes-the-hard-way
freecodecamp.cn,FCC China open source codebase and curriculum. Learn to code and help nonprofits.,https://github.com/FreeCodeCampChina/freecodecamp.cn
starship,The minimal blazing-fast and infinitely customizable prompt for any shell!,https://github.com/starship/starship
swiper,Most modern mobile touch slider with hardware accelerated transitions,https://github.com/nolimits4web/swiper
ailearning,AiLearning+++PyTorch+NLTK+TF2,https://github.com/apachecn/ailearning
open-source-ios-apps,:iphone: Collaborative List of Open-Source iOS Apps,https://github.com/dkhamsing/open-source-ios-apps
type-challenges,Collection of TypeScript type challenges with online judge,https://github.com/type-challenges/type-challenges
query,Powerful asynchronous state management server-state utilities and data fetching for the web. TS/JS React Query Solid Query Svelte Query and Vue Query.,https://github.com/TanStack/query
Deep-Learning-Papers-Reading-Roadmap,Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap
jadx,Dex to Java decompiler,https://github.com/skylot/jadx
weekly,,https://github.com/ruanyf/weekly
video.js,Video.js - open source HTML5 video player,https://github.com/videojs/video.js
annotated_deep_learning_paper_implementations,60 Implementations/tutorials of deep learning papers with side-by-side notes ; including transformers (original xl switch feedback vit ...) optimizers (adam adabelief sophia ...) gans(cyclegan stylegan2 ...) reinforcement learning (ppo dqn) capsnet distillation ...,https://github.com/labmlai/annotated_deep_learning_paper_implementations
esbuild,An extremely fast bundler for the web,https://github.com/evanw/esbuild
php-src,The PHP Interpreter,https://github.com/php/php-src
cheat.sh,the only cheat sheet you need,https://github.com/chubin/cheat.sh
drawio,draw.io is a JavaScript client-side editor for general diagramming and whiteboarding,https://github.com/jgraph/drawio
kong,The Cloud-Native API Gateway,https://github.com/Kong/kong
jeecg-boot,SpringBoot 2.xSpringCloudAnt Design&VueMybatisShiroJWT! OnlineCoding->->MERGEJava70%,https://github.com/jeecgboot/jeecg-boot
Prompt-Engineering-Guide,Guides papers lecture notebooks and resources for prompt engineering,https://github.com/dair-ai/Prompt-Engineering-Guide
monaco-editor,A browser based code editor,https://github.com/microsoft/monaco-editor
manifesto,The OpenTF Manifesto expresses concern over HashiCorp's switch of the Terraform license from open-source to the Business Source License (BSL) and calls for the tool's return to a truly open-source license.,https://github.com/opentofu/manifesto
slate,Beautiful static documentation for your API,https://github.com/slatedocs/slate
tabler,Tabler is free and open-source HTML Dashboard UI Kit built on Bootstrap,https://github.com/tabler/tabler
styleguide,Style guides for Google-originated open-source projects,https://github.com/google/styleguide
interview_internal_reference,2023,https://github.com/0voice/interview_internal_reference
wrk,Modern HTTP benchmarking tool,https://github.com/wg/wrk
bert,TensorFlow code and pre-trained models for BERT,https://github.com/google-research/bert
zustand,Bear necessities for state management in React,https://github.com/pmndrs/zustand
phaser,Phaser is a fun free and fast 2D game framework for making HTML5 games for desktop and mobile web browsers supporting Canvas and WebGL rendering.,https://github.com/photonstorm/phaser
Open-Assistant,OpenAssistant is a chat-based assistant that understands tasks can interact with third-party systems and retrieve information dynamically to do so.,https://github.com/LAION-AI/Open-Assistant
astro,The web framework that scales with you Build fast content sites powerful web applications dynamic server APIs and everything in-between Star to support our work!,https://github.com/withastro/astro
sentry,Developer-first error tracking and performance monitoring,https://github.com/getsentry/sentry
preact,Fast 3kB React alternative with the same modern API. Components & Virtual DOM.,https://github.com/preactjs/preact
lerna,:dragon: Lerna is a fast modern build system for managing and publishing multiple JavaScript/TypeScript packages from the same repository.,https://github.com/lerna/lerna
tutorials,"Just Announced - ""Learn Spring Security OAuth"":",https://github.com/eugenp/tutorials
ant-design-pro,Use Ant Design like a Pro!,https://github.com/ant-design/ant-design-pro
tidb,TiDB is an open-source cloud-native distributed MySQL-Compatible database for elastic scale and real-time analytics. Try AI-powered Chat2Query free at : https://tidbcloud.com/free-trial,https://github.com/pingcap/tidb
pure-bash-bible,A collection of pure bash alternatives to external processes.,https://github.com/dylanaraps/pure-bash-bible
fullPage.js,fullPage plugin by Alvaro Trigo. Create full screen pages fast and simple,https://github.com/alvarotrigo/fullPage.js
v,Simple fast safe compiled language for developing maintainable software. Compiles itself in <1s with zero library dependencies. Supports automatic C => V translation. https://vlang.io,https://github.com/vlang/v
awesome-cheatsheets,Awesome cheatsheets for popular programming languages frameworks and development tools. They include everything you should know in one single file.,https://github.com/LeCoupa/awesome-cheatsheets
node-v0.x-archive,Moved to https://github.com/nodejs/node,https://github.com/nodejs/node-v0.x-archive
og-aws,Amazon Web Services a practical guide,https://github.com/open-guides/og-aws
iina,The modern video player for macOS.,https://github.com/iina/iina
JavaFamily,Java+Java Java,https://github.com/AobingJava/JavaFamily
chakra-ui,Simple Modular & Accessible UI Components for your React Applications,https://github.com/chakra-ui/chakra-ui
koa,Expressive middleware for node.js using ES2017 async functions,https://github.com/koajs/koa
ChatGLM-6B,ChatGLM-6B: An Open Bilingual Dialogue Language Model |,https://github.com/THUDM/ChatGLM-6B
hackathon-starter,A boilerplate for Node.js web applications,https://github.com/sahat/hackathon-starter
nativefier,Make any web page a desktop application,https://github.com/nativefier/nativefier
wtfpython,What the f*ck Python?,https://github.com/satwikkansal/wtfpython
lottie-android,Render After Effects animations natively on Android and iOS Web and React Native,https://github.com/airbnb/lottie-android
deeplearningbook-chinese,Deep Learning Book Chinese Translation,https://github.com/exacity/deeplearningbook-chinese
Made-With-ML,Learn how to design develop deploy and iterate on production-grade ML applications.,https://github.com/GokuMohandas/Made-With-ML
cs-self-learning,,https://github.com/PKUFlyingPig/cs-self-learning
metabase,The simplest fastest way to get business intelligence and analytics to everyone in your company :yum:,https://github.com/metabase/metabase
TaskMatrix,nan,https://github.com/microsoft/TaskMatrix
shadowsocks-android,A shadowsocks client for Android,https://github.com/shadowsocks/shadowsocks-android
glide,An image loading and caching library for Android focused on smooth scrolling,https://github.com/bumptech/glide
prisma,Next-generation ORM for Node.js & TypeScript | PostgreSQL MySQL MariaDB SQL Server SQLite MongoDB and CockroachDB,https://github.com/prisma/prisma
dbeaver,Free universal database tool and SQL client,https://github.com/dbeaver/dbeaver
n8n,Free and source-available fair-code licensed workflow automation tool. Easily automate tasks across different services.,https://github.com/n8n-io/n8n
istio,Connect secure control and observe services.,https://github.com/istio/istio
gorm,The fantastic ORM library for Golang aims to be developer friendly,https://github.com/go-gorm/gorm
black,The uncompromising Python code formatter,https://github.com/psf/black
sheetjs,SheetJS Spreadsheet Data Toolkit -- New home https://git.sheetjs.com/SheetJS/sheetjs,https://github.com/SheetJS/sheetjs
zju-icicles,,https://github.com/QSCTech/zju-icicles
taro,React/Vue/Nerv ///// QQ /H5/React Native https://taro.zone/,https://github.com/NervJS/taro
caffe,Caffe: a fast open framework for deep learning.,https://github.com/BVLC/caffe
leveldb,LevelDB is a fast key-value storage library written at Google that provides an ordered mapping from string keys to string values.,https://github.com/google/leveldb
free,ss/v2ray/trojan,https://github.com/freefq/free
the-way-to-go_ZH_CN,The Way to GoGo,https://github.com/unknwon/the-way-to-go_ZH_CN
clipboard.js,:scissors: Modern copy to clipboard. No Flash. Just 3kb gzipped :clipboard:,https://github.com/zenorocha/clipboard.js
shadowsocks,nan,https://github.com/shadowsocks/shadowsocks
cobra,A Commander for modern Go CLI interactions,https://github.com/spf13/cobra
pyenv,Simple Python version management,https://github.com/pyenv/pyenv
brackets,An open source code editor for the web written in JavaScript HTML and CSS.,https://github.com/adobe/brackets
python-cheatsheet,Comprehensive Python Cheatsheet,https://github.com/gto76/python-cheatsheet
arthas,Alibaba Java Diagnostic Tool Arthas/Alibaba JavaArthas,https://github.com/alibaba/arthas
AFNetworking,A delightful networking framework for iOS macOS watchOS and tvOS.,https://github.com/AFNetworking/AFNetworking
awesome-react-native,Awesome React Native components news tools and learning material!,https://github.com/jondot/awesome-react-native
PaddleOCR,Awesome multilingual OCR toolkits based on PaddlePaddle (practical ultra lightweight OCR system support 80+ languages recognition provide data annotation and synthesis tools support training and deployment among server mobile embedded and IoT devices),https://github.com/PaddlePaddle/PaddleOCR
cli,GitHubs official command line tool,https://github.com/cli/cli
carbon,:black_heart: Create and share beautiful images of your source code,https://github.com/carbon-app/carbon
appwrite,Build Fast. Scale Big. All in One Place. Cloud is now available in public beta.,https://github.com/appwrite/appwrite
955.WLB,955 - 955worklife balance (),https://github.com/formulahendry/955.WLB
acme.sh,A pure Unix shell script implementing ACME client protocol,https://github.com/acmesh-official/acme.sh
CPlusPlusThings,C++,https://github.com/Light-City/CPlusPlusThings
DragGAN,Official Code for DragGAN (SIGGRAPH 2023),https://github.com/XingangPan/DragGAN
hello-algorithm,| . . . . star ~ChatGPT,https://github.com/geekxh/hello-algorithm
shellcheck,ShellCheck a static analysis tool for shell scripts,https://github.com/koalaman/shellcheck
ColossalAI,Making large AI models cheaper faster and more accessible,https://github.com/hpcaitech/ColossalAI
formik,Build forms in React without the tears,https://github.com/jaredpalmer/formik
vim,The official Vim repository,https://github.com/vim/vim
gulp,A toolkit to automate & enhance your workflow,https://github.com/gulpjs/gulp
gold-miner,,https://github.com/xitu/gold-miner
gym,A toolkit for developing and comparing reinforcement learning algorithms.,https://github.com/openai/gym
immutable-js,Immutable persistent data collections for Javascript which increase efficiency and simplicity.,https://github.com/immutable-js/immutable-js
aspnetcore,ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows Mac or Linux.,https://github.com/dotnet/aspnetcore
AndroidUtilCode,:fire: Android developers should collect the following utils(updating).,https://github.com/Blankj/AndroidUtilCode
devdocs,API Documentation Browser,https://github.com/freeCodeCamp/devdocs
date-fns,Modern JavaScript date utility library,https://github.com/date-fns/date-fns
mitmproxy,An interactive TLS-capable intercepting HTTP proxy for penetration testers and software developers.,https://github.com/mitmproxy/mitmproxy
GFPGAN,GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration.,https://github.com/TencentARC/GFPGAN
awesome-design-patterns,A curated list of software and architecture related design patterns.,https://github.com/DovAmir/awesome-design-patterns
material-design-lite,Material Design Components in HTML/CSS/JS,https://github.com/google/material-design-lite
XX-Net,A proxy tool to bypass GFW.,https://github.com/XX-net/XX-Net
typeorm,ORM for TypeScript and JavaScript. Supports MySQL PostgreSQL MariaDB SQLite MS SQL Server Oracle SAP Hana WebSQL databases. Works in NodeJS Browser Ionic Cordova and Electron platforms.,https://github.com/typeorm/typeorm
12306,12306,https://github.com/testerSunshine/12306
vim-plug,:hibiscus: Minimalist Vim Plugin Manager,https://github.com/junegunn/vim-plug
fanqiang,-,https://github.com/bannedbook/fanqiang
reactjs-interview-questions,List of top 500 ReactJS Interview Questions & Answers....Coding exercise questions are coming soon!!,https://github.com/sudheerj/reactjs-interview-questions
netty,Netty project - an event-driven asynchronous network application framework,https://github.com/netty/netty
wtfjs,A list of funny and tricky JavaScript examples,https://github.com/denysdovhan/wtfjs
airflow,Apache Airflow - A platform to programmatically author schedule and monitor workflows,https://github.com/apache/airflow
ShadowsocksX-NG,Next Generation of ShadowsocksX,https://github.com/shadowsocks/ShadowsocksX-NG
ijkplayer,Android/iOS video player based on FFmpeg n3.4 with MediaCodec VideoToolbox support.,https://github.com/bilibili/ijkplayer
Docker-OSX,Run macOS VM in a Docker! Run near native OSX-KVM in Docker! X11 Forwarding! CI/CD for OS X Security Research! Docker mac Containers.,https://github.com/sickcodes/Docker-OSX
tesseract.js,Pure Javascript OCR for more than 100 Languages,https://github.com/naptha/tesseract.js
diagrams,:art: Diagram as Code for prototyping cloud system architectures,https://github.com/mingrammer/diagrams
zxing,"ZXing (""Zebra Crossing"") barcode scanning library for Java Android",https://github.com/zxing/zxing
ui,Beautifully designed components built with Radix UI and Tailwind CSS.,https://github.com/shadcn-ui/ui
aria2,aria2 is a lightweight multi-protocol & multi-source cross platform download utility operated in command-line. It supports HTTP/HTTPS FTP SFTP BitTorrent and Metalink.,https://github.com/aria2/aria2
awesome-javascript,A collection of awesome browser-side JavaScript libraries resources and shiny things.,https://github.com/sorrycc/awesome-javascript
android-open-project,A categorized collection of Android Open Source Projects More powerful web version:,https://github.com/Trinea/android-open-project
curl,A command line tool and library for transferring data with URL syntax supporting DICT FILE FTP FTPS GOPHER GOPHERS HTTP HTTPS IMAP IMAPS LDAP LDAPS MQTT POP3 POP3S RTMP RTMPS RTSP SCP SFTP SMB SMBS SMTP SMTPS TELNET TFTP WS and WSS. libcurl offers a myriad of powerful features,https://github.com/curl/curl
carbon-lang,Carbon Language's main repository: documents design implementation and related tools. (NOTE: Carbon Language is experimental; see README),https://github.com/carbon-language/carbon-lang
jieba,,https://github.com/fxsjy/jieba
metasploit-framework,Metasploit Framework,https://github.com/rapid7/metasploit-framework
jQuery-File-Upload,File Upload widget with multiple file selection drag&drop support progress bar validation and preview images audio and video for jQuery. Supports cross-domain chunked and resumable file uploads. Works with any server-side platform (Google App Engine PHP Python Ruby on Rails Java etc.) that supports standard HTML form file uploads.,https://github.com/blueimp/jQuery-File-Upload
lx-music-desktop,electron,https://github.com/lyswhut/lx-music-desktop
MockingBird,AI: 5 Clone a voice in 5 seconds to generate arbitrary speech in real-time,https://github.com/babysor/MockingBird
react-beautiful-dnd,Beautiful and accessible drag and drop for lists with React,https://github.com/atlassian/react-beautiful-dnd
google-research,Google Research,https://github.com/google-research/google-research
googletest,GoogleTest - Google Testing and Mocking Framework,https://github.com/google/googletest
insomnia,The open-source cross-platform API client for GraphQL REST WebSockets and gRPC.,https://github.com/Kong/insomnia
ClickHouse,ClickHouse is a free analytics DBMS for big data,https://github.com/ClickHouse/ClickHouse
yuzu,Nintendo Switch emulator,https://github.com/yuzu-emu/yuzu
50projects50days,50+ mini web projects using HTML CSS & JS,https://github.com/bradtraversy/50projects50days
odoo,Odoo. Open Source Apps To Grow Your Business.,https://github.com/odoo/odoo
awesome-awesomeness,A curated list of awesome awesomeness,https://github.com/bayandin/awesome-awesomeness
LeetCode-Go,Solutions to LeetCode by Go 100% test coverage runtime beats 100% / LeetCode,https://github.com/halfrost/LeetCode-Go
compose,Define and run multi-container applications with Docker,https://github.com/docker/compose
marked,A markdown parser and compiler. Built for speed.,https://github.com/markedjs/marked
nvm-windows,A node.js version management utility for Windows. Ironically written in Go.,https://github.com/coreybutler/nvm-windows
spring-boot-demo,Spring Boot,https://github.com/xkcoding/spring-boot-demo
lazydocker,The lazier way to manage everything docker,https://github.com/jesseduffield/lazydocker
interview,C/C++ This repository is a summary of the basic knowledge of recruiting job seekers and beginners in the direction of C/C++ technology including language program library data structure algorithm system network link loading library interview experience recruitment recommendation etc.,https://github.com/huihut/interview
tmux,tmux source code,https://github.com/tmux/tmux
alist,A file list/WebDAV program that supports multiple storages powered by Gin and Solidjs. / /WebDAV Gin Solidjs,https://github.com/alist-org/alist
HanLP,,https://github.com/hankcs/HanLP
husky,Git hooks made easy woof!,https://github.com/typicode/husky
framework,The Laravel Framework.,https://github.com/laravel/framework
certbot,Certbot is EFF's tool to obtain certs from Let's Encrypt and (optionally) auto-enable HTTPS on your server. It can also act as a client for any other CA that uses the ACME protocol.,https://github.com/certbot/certbot
beego,beego is an open-source high-performance web framework for the Go programming language.,https://github.com/beego/beego
hello-algo,Hello Java C++ Python Go JS TS C# Swift Rust Dart Zig,https://github.com/krahets/hello-algo
graphql-engine,Blazing fast instant realtime GraphQL APIs on your DB with fine grained access control also trigger webhooks on database events.,https://github.com/hasura/graphql-engine
stablediffusion,High-Resolution Image Synthesis with Latent Diffusion Models,https://github.com/Stability-AI/stablediffusion
ImHex,A Hex Editor for Reverse Engineers Programmers and people who value their retinas when working at 3 AM.,https://github.com/WerWolv/ImHex
pandoc,Universal markup converter,https://github.com/jgm/pandoc
slate,A completely customizable framework for building rich text editors. (Currently in beta.),https://github.com/ianstormtaylor/slate
composer,Dependency Manager for PHP,https://github.com/composer/composer
interactive-coding-challenges,120+ interactive Python coding interview challenges (algorithms and data structures). Includes Anki flashcards.,https://github.com/donnemartin/interactive-coding-challenges
awesome-macos-command-line,Use your macOS terminal shell to do awesome things.,https://github.com/herrbischoff/awesome-macos-command-line
cockroach,CockroachDB - the open source cloud-native distributed SQL database.,https://github.com/cockroachdb/cockroach
postcss,Transforming styles with JS plugins,https://github.com/postcss/postcss
vaultwarden,Unofficial Bitwarden compatible server written in Rust formerly known as bitwarden_rs,https://github.com/dani-garcia/vaultwarden
selenium,A browser automation framework and ecosystem.,https://github.com/SeleniumHQ/selenium
calculator,Windows Calculator: A simple yet powerful calculator that ships with Windows,https://github.com/microsoft/calculator
lapce,Lightning-fast and Powerful Code Editor written in Rust,https://github.com/lapce/lapce
ray,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,https://github.com/ray-project/ray
algo,Set up a personal VPN in the cloud,https://github.com/trailofbits/algo
particles.js,A lightweight JavaScript library for creating particles,https://github.com/VincentGarreau/particles.js
nacos,an easy-to-use dynamic service discovery configuration and service management platform for building cloud native applications.,https://github.com/alibaba/nacos
FastChat,An open platform for training serving and evaluating large language models. Release repo for Vicuna and Chatbot Arena.,https://github.com/lm-sys/FastChat
fairseq,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.,https://github.com/facebookresearch/fairseq
ClashForAndroid,A rule-based tunnel for Android.,https://github.com/Kr328/ClashForAndroid
Sortable,Reorderable drag-and-drop lists for modern browsers and touch devices. No jQuery or framework required.,https://github.com/SortableJS/Sortable
zsh-autosuggestions,Fish-like autosuggestions for zsh,https://github.com/zsh-users/zsh-autosuggestions
pytorch-tutorial,PyTorch Tutorial for Deep Learning Researchers,https://github.com/yunjey/pytorch-tutorial
How-To-Ask-Questions-The-Smart-Way,Hacker Eric S. Raymond,https://github.com/ryanhanwu/How-To-Ask-Questions-The-Smart-Way
HowToLiveLonger,| A programmer's guide to live longer,https://github.com/geekan/HowToLiveLonger
uppy,The next open source file uploader for web browsers :dog:,https://github.com/transloadit/uppy
ChatGPT,Reverse engineered ChatGPT API,https://github.com/acheong08/ChatGPT
drone,Drone is a Container-Native Continuous Delivery Platform,https://github.com/harness/drone
minikube,Run Kubernetes locally,https://github.com/kubernetes/minikube
streamlit,Streamlit A faster way to build and share data apps.,https://github.com/streamlit/streamlit
jsPDF,Client-side JavaScript PDF generation for everyone.,https://github.com/parallax/jsPDF
druid,DataWorks(https://help.aliyun.com/document_detail/137663.html),https://github.com/alibaba/druid
machine-learning-for-software-engineers,A complete daily plan for studying to become a machine learning engineer.,https://github.com/ZuzooVn/machine-learning-for-software-engineers
nps,tcpudpsocks5httpsshdnssocks5weba lightweight high-performance powerful intranet penetration proxy server with a powerful web management terminal.,https://github.com/ehang-io/nps
spaCy,Industrial-strength Natural Language Processing (NLP) in Python,https://github.com/explosion/spaCy
OpenAPI-Specification,The OpenAPI Specification Repository,https://github.com/OAI/OpenAPI-Specification
hutool,A set of tools that keep Java sweet.,https://github.com/dromara/hutool
legacy-homebrew,The former home of Homebrew/homebrew (deprecated),https://github.com/Homebrew/legacy-homebrew
lede,Lean's LEDE source,https://github.com/coolsnowwolf/lede
underscore,JavaScript's utility _ belt,https://github.com/jashkenas/underscore
